eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
VisualA_VisualB,577.7809338024266,-0.005502803515608168,-0.1625445867679268,1195.5583310590514,0.3369419126732765,-0.239548381616107
VisualA_SensorimotorA,9.547149507689571,0.3585171133133702,-0.29791795171575547,59.090762469577285,-0.4931653035288109,0.535151585853941
VisualA_SensorimotorB,-2164.5563821787123,0.43603192438771055,-0.4546961621864035,-4289.116300903226,-0.41831509919052284,0.9804258065133602
VisualA_DorsalAttnA,-1553.9231040151683,0.04285669086265054,-0.02975814108274956,-3067.8497445761386,-0.2732408214968646,0.09292622560026524
VisualA_DorsalAttnB,-2098.9822926622414,0.28807391501334134,-0.2618368043505973,-4157.968121870284,-0.37041853111818873,0.25866216564716865
VisualA_VentralAttnA,-4010.51194773601,0.32529423389913337,-0.44884141369020975,-7981.027432017821,-0.19993386000707467,0.5713860391952419
VisualA_VentralAttnB,-4171.635902943649,0.35808680764820755,-0.41136236505256635,-8303.2753424331,-0.2225956849580496,0.6484211242440456
VisualA_LimbicA,-4214.631683153278,0.0844621468900777,-0.15189823634038724,-8389.266902852358,-0.058618743878217125,0.4292316505293048
VisualA_LimbicB,-4357.549141504326,0.06278136215280239,-0.11390637983164294,-8675.101819554455,0.47993805558401104,0.8073959378893598
VisualA_ControlA,-1342.843904099518,0.14183797321968739,-0.12327726000726197,-2645.6913447448383,1.0400867253176913,1.8110504232840225
VisualA_ControlB,-2983.6055292612205,0.2368986695020715,-0.23147608241514053,-5927.2145950682425,0.8000195061221923,0.7543230659122555
VisualA_ControlC,-2556.526841198557,0.33184829899488644,-0.45516917312403654,-5073.057218942916,0.8737840477185671,1.821640629737303
VisualA_DefaultA,-1920.8172894624333,0.37630544779961594,-0.38544361320306,-3801.6381154706687,-0.17919615410868603,0.06394852098231794
VisualA_DefaultB,-2146.793410346713,0.23221322505666742,-0.18621514184372462,-4253.590357239227,-0.026795114626679186,-0.28791845856663145
VisualA_DefaultC,-3046.231373353332,0.3924500142976828,-0.37207326727078005,-6052.4662832524655,0.061009645706151236,0.4581733620463664
VisualA_TemporalParietal,-3754.83386659848,0.48216060547656825,-0.5696869891297042,-7469.671269742762,-0.02900751714130244,0.41952411768103165
VisualB_SensorimotorA,97.12478999232864,0.15069808166043042,-0.12211349592116028,234.24604343885542,-0.10870474936413929,0.5635970235862245
VisualB_SensorimotorB,-1771.6019637506934,0.2584566461935043,-0.21912144816404752,-3503.2074640471888,0.08752769772383398,0.48345706167330926
VisualB_DorsalAttnA,-2483.8449041181443,0.06728721042591446,-0.12719529077333075,-4927.69334478209,0.26402131645223853,0.1528430945977207
VisualB_DorsalAttnB,-3063.502033197391,0.06589372831848417,-0.051320851193112166,-6087.007602940584,0.22815827098769906,0.9115640971622668
VisualB_VentralAttnA,-3748.28150350361,0.0877146345850931,-0.11333459245260731,-7456.566543553022,0.031003443399319732,0.3693319970394257
VisualB_VentralAttnB,-3845.7692206818137,0.1202003894538638,-0.11579106894680156,-7651.542159673908,0.04982644212701013,0.01894495968582138
VisualB_LimbicA,-4534.256367524022,0.14846618645852894,-0.10878852101745205,-9028.516271593846,0.1489465192452298,0.19329002871365472
VisualB_LimbicB,-4607.798903492661,0.0815129804515472,-0.04863537733433306,-9175.601525295604,0.18188529916432436,0.2364686285773837
