,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
0,lh_G&S_frontomargin_thickness,-8675.653711042176,0.2216479820345597,-0.6491121870263555,-17326.393378069988,-0.17205470118058636,0.7923103454255596
1,lh_G&S_occipital_inf_thickness,-8871.008901241614,0.022785170249064013,-0.45860673025440224,-17717.103758468864,0.6922784877277104,3.1066291535208563
2,lh_G&S_paracentral_thickness,-3113.336799935542,0.2872685202461589,-0.34315877309539294,-6201.759555856719,0.31711177217084474,1.7867593391765593
3,lh_G&S_subcentral_thickness,-7402.457664327036,0.19471996235317224,-0.43291784292193153,-14780.001284639706,0.2680547992974652,0.713826912255493
4,lh_G&S_transv_frontopol_thickness,-2560.9610058197463,0.18661947851324723,-0.1805430750356632,-5097.007967625128,0.5354877048168833,0.9671835537943149
5,lh_G&S_cingul-Ant_thickness,-11877.468796547597,0.22630722528332026,-0.4678538535511711,-23730.02354908083,0.5511104739976552,1.38254254033024
6,lh_G&S_cingul-Mid-Ant_thickness,-1356.2578811453088,0.2598858869156868,-0.27909390578015275,-2687.601718276253,0.19503198326325225,0.10808065543222528
7,lh_G&S_cingul-Mid-Post_thickness,-13191.058233800264,0.24343147040497715,-0.4109713468731473,-26357.202423586165,-0.12604002161055716,0.6021378033798611
8,lh_G_cingul-Post-dorsal_thickness,-9026.310534487977,0.24191602479966112,-0.3474559294886683,-18027.70702496159,-0.33725946856994493,1.375021916102907
9,lh_G_cingul-Post-ventral_thickness,2588.485769330064,0.06477842113967336,-0.07424452718087135,5201.885582674493,0.2960339165002268,0.673308397144104
10,lh_G_cuneus_thickness,-13252.885697332247,0.5838389237113324,-0.4909452921726267,-26480.85735065013,0.7760895140246293,2.5031284804761023
11,lh_G_front_inf-Opercular_thickness,-8947.289585875167,0.3178410611284198,-0.49638432483028266,-17869.66512773597,0.46422728659848633,1.0341799949856227
12,lh_G_front_inf-Orbital_thickness,-1667.4824402622203,0.18197024658842287,-0.20312401195979754,-3310.050836510076,0.3531855569365955,1.4413735068761298
13,lh_G_front_inf-Triangul_thickness,-7561.255541661654,0.2047794488727911,-0.3580040726097468,-15097.597039308943,0.41848348166154914,0.9244167897926144
14,lh_G_front_middle_thickness,-11642.507980395138,0.3334344725463957,-0.5770950598873122,-23260.10191677591,0.3882249830896463,1.1519412836563296
15,lh_G_front_sup_thickness,-10298.099168265702,0.5086323781075472,-0.5902034929443737,-20571.28429251704,0.30896586818542804,0.3793988574631422
16,lh_G_Ins_lg&S_cent_ins_thickness,3669.9007691112615,0.2258407737006315,-0.09932086552995185,7364.715582236888,-0.09154718799025768,0.3048763338269434
17,lh_G_insular_short_thickness,3132.485855678416,0.32366415556125094,-0.1633917524172822,6289.885755371197,-0.055985713131874955,0.5674232678122321
18,lh_G_occipital_middle_thickness,-11908.74930253543,0.23077347130575565,-0.5021789049938107,-23792.584561056497,0.12095463925940354,-0.004133000033650236
19,lh_G_occipital_sup_thickness,-8232.000086654163,0.2260010155647788,-0.2710829776744312,-16439.086129293963,0.6102043665982758,3.187719595654023
20,lh_G_oc-temp_lat-fusifor_thickness,-8644.285551869283,0.2566356457975736,-0.7949642688967201,-17263.657059724203,-0.06442338519618829,0.5939946828260277
21,lh_G_oc-temp_med-Lingual_thickness,-11851.712950392868,0.5037889547339689,-0.43655362211078946,-23678.511856771373,0.29492480963529605,0.15515248964860717
22,lh_G_oc-temp_med-Parahip_thickness,2613.0111958924376,0.20860757188697987,-0.09197867218456533,5250.93643579924,-0.1632354972286038,1.545401740419734
23,lh_G_orbital_thickness,-9833.697101587682,0.4352123595504439,-0.49126187716058006,-19642.480159161,-0.06659348211474361,0.4208195118890794
24,lh_G_pariet_inf-Angular_thickness,-10707.20902628829,0.20962355204186756,-0.5198519277390468,-21389.504008562217,0.20179290477979742,0.9143975440616487
25,lh_G_pariet_inf-Supramar_thickness,-10594.053913762004,0.1900830357103973,-0.666436315163379,-21163.193783509643,0.0507592283881602,0.7751478864653567
26,lh_G_parietal_sup_thickness,-11140.556007643358,0.29123467411848436,-0.7134636037869259,-22256.19797127235,-0.01577310506095147,1.5930354801641458
27,lh_G_postcentral_thickness,-6767.859629231606,0.1634519497159309,-0.5442639349512488,-13510.805214448847,0.18799010497403135,0.5745620549961182
28,lh_G_precentral_thickness,-1942.8715036093304,0.4535848786931961,-0.5057745857911959,-3860.828963204296,-0.6251648669620453,4.793558817156691
29,lh_G_precuneus_thickness,-10782.145514602635,0.26364952355057536,-0.6414663554921822,-21539.376985190906,0.2492867823159483,0.9997292923219967
30,lh_G_rectus_thickness,-4623.704315124209,0.3093962243016246,-0.654623699613763,-9222.494586234052,0.6597268547318681,2.0716240184689414
31,lh_G_subcallosal_thickness,11832.55988602111,0.12995125313009692,-0.02508115835332274,23690.033816056584,0.03413828511712115,0.40394769712473233
32,lh_G_temp_sup-G_T_transv_thickness,1636.4079356503746,0.1468231527626871,-0.17352606998188352,3297.729915315114,0.768342689689381,3.9851191367903454
33,lh_G_temp_sup-Lateral_thickness,-3211.324859536366,0.27393703925418234,-0.29994239922703303,-6397.735675058368,-0.1511226413491282,0.8542624876539904
34,lh_G_temp_sup-Plan_polar_thickness,8579.65394232437,0.3911783400641208,-0.24392371767027451,17184.221928663104,-0.24524552799741406,0.8795135634189911
35,lh_G_temp_sup-Plan_tempo_thickness,-3995.5096792786303,0.17195706480385475,-0.4967886406717441,-7966.105314542896,0.5060040709418197,1.2000281330018376
36,lh_G_temporal_inf_thickness,-8424.015745168597,0.5255108265855541,-1.3701772089779627,-16823.11744632283,0.35943687588094225,0.5099915474011357
37,lh_G_temporal_middle_thickness,-7666.907919936526,0.2187595079237713,-0.2557960323469858,-15308.901795858686,0.07586540092146446,-0.14815434071898118
38,lh_Lat_Fis-ant-Horizont_thickness,2239.5791322695045,0.06156811002011486,-0.31347243592772756,4504.072308553374,0.7409859898782479,0.9146659764524118
39,lh_Lat_Fis-ant-Vertical_thickness,-637.2643324791954,0.20402424723895407,-0.4068890318104339,-1249.6146209440262,0.6757728052654457,3.801396325266092
40,lh_Lat_Fis-post_thickness,-11006.993310100182,0.2513759685974515,-0.3451341311097476,-21989.072576186,0.2614044430574302,0.4610917710701403
41,lh_Pole_occipital_thickness,-9048.331063253236,0.45943025318409614,-0.31051502583098206,-18071.748082492108,0.5442860712971025,2.5852268543941666
42,lh_Pole_temporal_thickness,-1978.0188362446568,0.5001740918647148,-0.5969939815208881,-3931.123628474949,0.021856343270936485,0.33820545310276395
43,lh_S_calcarine_thickness,-17143.51492222987,0.4786958725985814,-0.4330612775311803,-34262.115800445375,0.2760347124508749,0.11088114143832718
